state,week,diff
pennsylvania,Week 2,2.0
pennsylvania,Week 3,5.0
pennsylvania,Week 4,6.0
pennsylvania,Week 5,7.0
pennsylvania,Week 6,7.0
pennsylvania,Week 7,7.0
pennsylvania,Week 41,0.0
pennsylvania,Week 42,0.0
pennsylvania,Week 43,0.0
pennsylvania,Week 44,0.0
pennsylvania,Week 45,0.0
pennsylvania,Week 46,0.0
pennsylvania,Week 47,0.0
pennsylvania,Week 48,0.0
pennsylvania,Week 49,-1.0
pennsylvania,Week 50,0.0
pennsylvania,Week 51,-1.0
pennsylvania,Week 52,1.0
rhode island,Week 1,1.0
rhode island,Week 2,1.0
rhode island,Week 3,1.0
rhode island,Week 4,4.0
rhode island,Week 5,5.0
rhode island,Week 6,8.0
rhode island,Week 7,7.0
rhode island,Week 41,0.0
rhode island,Week 42,0.0
rhode island,Week 43,0.0
rhode island,Week 44,0.0
rhode island,Week 45,0.0
rhode island,Week 46,0.0
rhode island,Week 47,0.0
rhode island,Week 48,0.0
rhode island,Week 49,0.0
rhode island,Week 50,0.0
rhode island,Week 51,0.0
rhode island,Week 52,0.0
south carolina,Week 1,8.0
south carolina,Week 2,8.0
south carolina,Week 3,8.0
south carolina,Week 4,9.0
south carolina,Week 5,6.0
south carolina,Week 6,5.0
south carolina,Week 7,5.0
south carolina,Week 41,0.0
south carolina,Week 42,-1.0
south carolina,Week 43,-1.0
south carolina,Week 44,0.0
south carolina,Week 45,-3.0
south carolina,Week 46,-1.0
south carolina,Week 47,0.0
south carolina,Week 48,-1.0
south carolina,Week 49,1.0
south carolina,Week 50,6.0
south carolina,Week 51,6.0
south carolina,Week 52,7.0
south dakota,Week 1,1.0
south dakota,Week 2,2.0
south dakota,Week 3,5.0
south dakota,Week 4,6.0
south dakota,Week 5,8.0
south dakota,Week 6,5.0
south dakota,Week 7,7.0
south dakota,Week 41,0.0
south dakota,Week 42,0.0
south dakota,Week 43,0.0
south dakota,Week 44,0.0
south dakota,Week 45,0.0
south dakota,Week 46,0.0
south dakota,Week 47,0.0
south dakota,Week 48,0.0
south dakota,Week 49,0.0
south dakota,Week 50,0.0
